id	DESeq2_logFC	DESeq2_padj	edgeR_logFC	edgeR_padj	maxPadj	minPadj
CCL22	16.3241521681072	5.32116562490512e-103	16.1956080142034	3.83547081375259e-268	5.32116562490512e-103	3.83547081375259e-268
HLA-DRA	10.4580253349782	0	10.5118953204252	4.88727448183368e-251	4.88727448183368e-251	0
SRGN	15.0017861421254	5.01375443465772e-121	14.9285783909818	2.4299917881557e-235	5.01375443465772e-121	2.4299917881557e-235
PLEK	16.674238381238	8.55446499607115e-57	17.1442222313319	1.10913849489303e-234	8.55446499607115e-57	1.10913849489303e-234
MS4A1	16.8304349670582	3.66068729683477e-57	17.2998208610491	4.14449259543381e-225	3.66068729683477e-57	4.14449259543381e-225
HLA-DQA1	13.6898386338128	2.31486737827566e-142	13.6624793148881	4.01660134978691e-217	2.31486737827566e-142	4.01660134978691e-217
ARHGDIB	10.9669690117032	0	11.0096845722352	2.03180127695225e-213	2.03180127695225e-213	0
POU2AF1	12.7755280675688	1.80768662495207e-106	12.7224811089015	1.3000163078204e-208	1.80768662495207e-106	1.3000163078204e-208
ESRG	-13.6005414182755	4.8202257333936e-189	-13.49792670525	5.0475805560641e-207	4.8202257333936e-189	5.0475805560641e-207
CD48	13.833270464152	3.6582696366325e-87	13.7371247392586	9.72732574167124e-201	3.6582696366325e-87	9.72732574167124e-201
PTPRC	12.7501953890379	3.88190392777169e-91	12.6745258259307	1.81193938010496e-196	3.88190392777169e-91	1.81193938010496e-196
CD22	11.7466131359454	8.04007471020599e-155	11.7499693267565	1.10383289265014e-194	8.04007471020599e-155	1.10383289265014e-194
HLA-DPA1	8.57065849953977	0	8.62750087041886	1.55130584933413e-193	1.55130584933413e-193	0
LIN28A	-14.3168240793774	1.80670530179895e-137	-14.1691685645307	6.8686553109456e-189	1.80670530179895e-137	6.8686553109456e-189
GJA1	-14.6370251634201	8.50549763059458e-65	-14.4264493164007	6.24512700457161e-187	8.50549763059458e-65	6.24512700457161e-187
